// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:04 (4.6 sec)   *****
// Found 3 benchmarks:
//   PartitionedShutdownBenchmarks.DrainFullQueue: A_Published(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/published,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)
//   PartitionedShutdownBenchmarks.DrainFullQueue: B_Candidate(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/candidate,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)
//   PartitionedShutdownBenchmarks.DrainFullQueue: C_PublishedControl(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/published,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
OverheadActual  16: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  20: 1 op, 200.00 ns, 200.0000 ns/op

WorkloadWarmup   1: 1 op, 156600.00 ns, 156.6000 us/op
WorkloadWarmup   2: 1 op, 108900.00 ns, 108.9000 us/op
WorkloadWarmup   3: 1 op, 101400.00 ns, 101.4000 us/op
WorkloadWarmup   4: 1 op, 97500.00 ns, 97.5000 us/op
WorkloadWarmup   5: 1 op, 98200.00 ns, 98.2000 us/op
WorkloadWarmup   6: 1 op, 96800.00 ns, 96.8000 us/op
WorkloadWarmup   7: 1 op, 274800.00 ns, 274.8000 us/op
WorkloadWarmup   8: 1 op, 99700.00 ns, 99.7000 us/op
WorkloadWarmup   9: 1 op, 98900.00 ns, 98.9000 us/op
WorkloadWarmup  10: 1 op, 98600.00 ns, 98.6000 us/op
WorkloadWarmup  11: 1 op, 92100.00 ns, 92.1000 us/op
WorkloadWarmup  12: 1 op, 96800.00 ns, 96.8000 us/op
WorkloadWarmup  13: 1 op, 98500.00 ns, 98.5000 us/op
WorkloadWarmup  14: 1 op, 113000.00 ns, 113.0000 us/op
WorkloadWarmup  15: 1 op, 98000.00 ns, 98.0000 us/op
WorkloadWarmup  16: 1 op, 96500.00 ns, 96.5000 us/op
WorkloadWarmup  17: 1 op, 102800.00 ns, 102.8000 us/op
WorkloadWarmup  18: 1 op, 95500.00 ns, 95.5000 us/op
WorkloadWarmup  19: 1 op, 96300.00 ns, 96.3000 us/op
WorkloadWarmup  20: 1 op, 94900.00 ns, 94.9000 us/op
WorkloadWarmup  21: 1 op, 97000.00 ns, 97.0000 us/op
WorkloadWarmup  22: 1 op, 95200.00 ns, 95.2000 us/op
WorkloadWarmup  23: 1 op, 103000.00 ns, 103.0000 us/op
WorkloadWarmup  24: 1 op, 97000.00 ns, 97.0000 us/op
WorkloadWarmup  25: 1 op, 100800.00 ns, 100.8000 us/op
WorkloadWarmup  26: 1 op, 98700.00 ns, 98.7000 us/op
WorkloadWarmup  27: 1 op, 100300.00 ns, 100.3000 us/op
WorkloadWarmup  28: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadWarmup  29: 1 op, 99800.00 ns, 99.8000 us/op
WorkloadWarmup  30: 1 op, 96700.00 ns, 96.7000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 100800.00 ns, 100.8000 us/op
WorkloadActual   2: 1 op, 101400.00 ns, 101.4000 us/op
WorkloadActual   3: 1 op, 100100.00 ns, 100.1000 us/op
WorkloadActual   4: 1 op, 97800.00 ns, 97.8000 us/op
WorkloadActual   5: 1 op, 99600.00 ns, 99.6000 us/op
WorkloadActual   6: 1 op, 102400.00 ns, 102.4000 us/op
WorkloadActual   7: 1 op, 97800.00 ns, 97.8000 us/op
WorkloadActual   8: 1 op, 97400.00 ns, 97.4000 us/op
WorkloadActual   9: 1 op, 107700.00 ns, 107.7000 us/op
WorkloadActual  10: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  11: 1 op, 97800.00 ns, 97.8000 us/op
WorkloadActual  12: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  13: 1 op, 98000.00 ns, 98.0000 us/op
WorkloadActual  14: 1 op, 97400.00 ns, 97.4000 us/op
WorkloadActual  15: 1 op, 98300.00 ns, 98.3000 us/op
WorkloadActual  16: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  17: 1 op, 98100.00 ns, 98.1000 us/op
WorkloadActual  18: 1 op, 98400.00 ns, 98.4000 us/op
WorkloadActual  19: 1 op, 99800.00 ns, 99.8000 us/op
WorkloadActual  20: 1 op, 147800.00 ns, 147.8000 us/op
WorkloadActual  21: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  22: 1 op, 97500.00 ns, 97.5000 us/op
WorkloadActual  23: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  24: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  25: 1 op, 99100.00 ns, 99.1000 us/op
WorkloadActual  26: 1 op, 101700.00 ns, 101.7000 us/op
WorkloadActual  27: 1 op, 107900.00 ns, 107.9000 us/op
WorkloadActual  28: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  29: 1 op, 97700.00 ns, 97.7000 us/op
WorkloadActual  30: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  31: 1 op, 105800.00 ns, 105.8000 us/op
WorkloadActual  32: 1 op, 97700.00 ns, 97.7000 us/op
WorkloadActual  33: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  34: 1 op, 98400.00 ns, 98.4000 us/op
WorkloadActual  35: 1 op, 100000.00 ns, 100.0000 us/op
WorkloadActual  36: 1 op, 99300.00 ns, 99.3000 us/op
WorkloadActual  37: 1 op, 100700.00 ns, 100.7000 us/op
WorkloadActual  38: 1 op, 97500.00 ns, 97.5000 us/op
WorkloadActual  39: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  40: 1 op, 97600.00 ns, 97.6000 us/op
WorkloadActual  41: 1 op, 99000.00 ns, 99.0000 us/op
WorkloadActual  42: 1 op, 97300.00 ns, 97.3000 us/op
WorkloadActual  43: 1 op, 99900.00 ns, 99.9000 us/op
WorkloadActual  44: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  45: 1 op, 107500.00 ns, 107.5000 us/op
WorkloadActual  46: 1 op, 97800.00 ns, 97.8000 us/op
WorkloadActual  47: 1 op, 100200.00 ns, 100.2000 us/op
WorkloadActual  48: 1 op, 97800.00 ns, 97.8000 us/op
WorkloadActual  49: 1 op, 100300.00 ns, 100.3000 us/op
WorkloadActual  50: 1 op, 100200.00 ns, 100.2000 us/op
WorkloadActual  51: 1 op, 103200.00 ns, 103.2000 us/op
WorkloadActual  52: 1 op, 99400.00 ns, 99.4000 us/op
WorkloadActual  53: 1 op, 101200.00 ns, 101.2000 us/op
WorkloadActual  54: 1 op, 99100.00 ns, 99.1000 us/op
WorkloadActual  55: 1 op, 119600.00 ns, 119.6000 us/op
WorkloadActual  56: 1 op, 112900.00 ns, 112.9000 us/op
WorkloadActual  57: 1 op, 100300.00 ns, 100.3000 us/op
WorkloadActual  58: 1 op, 97300.00 ns, 97.3000 us/op
WorkloadActual  59: 1 op, 101100.00 ns, 101.1000 us/op
WorkloadActual  60: 1 op, 103100.00 ns, 103.1000 us/op
WorkloadActual  61: 1 op, 99900.00 ns, 99.9000 us/op
WorkloadActual  62: 1 op, 99800.00 ns, 99.8000 us/op
WorkloadActual  63: 1 op, 99900.00 ns, 99.9000 us/op
WorkloadActual  64: 1 op, 98000.00 ns, 98.0000 us/op
WorkloadActual  65: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  66: 1 op, 97000.00 ns, 97.0000 us/op
WorkloadActual  67: 1 op, 110300.00 ns, 110.3000 us/op
WorkloadActual  68: 1 op, 99600.00 ns, 99.6000 us/op
WorkloadActual  69: 1 op, 101600.00 ns, 101.6000 us/op
WorkloadActual  70: 1 op, 99900.00 ns, 99.9000 us/op
WorkloadActual  71: 1 op, 100000.00 ns, 100.0000 us/op
WorkloadActual  72: 1 op, 98400.00 ns, 98.4000 us/op
WorkloadActual  73: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  74: 1 op, 97600.00 ns, 97.6000 us/op
WorkloadActual  75: 1 op, 100500.00 ns, 100.5000 us/op
WorkloadActual  76: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  77: 1 op, 99000.00 ns, 99.0000 us/op
WorkloadActual  78: 1 op, 97200.00 ns, 97.2000 us/op
WorkloadActual  79: 1 op, 102000.00 ns, 102.0000 us/op
WorkloadActual  80: 1 op, 102300.00 ns, 102.3000 us/op
WorkloadActual  81: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  82: 1 op, 98500.00 ns, 98.5000 us/op
WorkloadActual  83: 1 op, 107900.00 ns, 107.9000 us/op
WorkloadActual  84: 1 op, 96700.00 ns, 96.7000 us/op
WorkloadActual  85: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  86: 1 op, 95300.00 ns, 95.3000 us/op
WorkloadActual  87: 1 op, 99600.00 ns, 99.6000 us/op
WorkloadActual  88: 1 op, 100900.00 ns, 100.9000 us/op
WorkloadActual  89: 1 op, 109500.00 ns, 109.5000 us/op
WorkloadActual  90: 1 op, 98200.00 ns, 98.2000 us/op
WorkloadActual  91: 1 op, 101900.00 ns, 101.9000 us/op
WorkloadActual  92: 1 op, 102600.00 ns, 102.6000 us/op
WorkloadActual  93: 1 op, 101100.00 ns, 101.1000 us/op
WorkloadActual  94: 1 op, 97600.00 ns, 97.6000 us/op
WorkloadActual  95: 1 op, 100500.00 ns, 100.5000 us/op
WorkloadActual  96: 1 op, 97000.00 ns, 97.0000 us/op
WorkloadActual  97: 1 op, 101300.00 ns, 101.3000 us/op
WorkloadActual  98: 1 op, 100100.00 ns, 100.1000 us/op
WorkloadActual  99: 1 op, 101600.00 ns, 101.6000 us/op
WorkloadActual  100: 1 op, 98300.00 ns, 98.3000 us/op
WorkloadActual  101: 1 op, 100000.00 ns, 100.0000 us/op
WorkloadActual  102: 1 op, 98300.00 ns, 98.3000 us/op
WorkloadActual  103: 1 op, 156700.00 ns, 156.7000 us/op
WorkloadActual  104: 1 op, 151600.00 ns, 151.6000 us/op
WorkloadActual  105: 1 op, 101900.00 ns, 101.9000 us/op
WorkloadActual  106: 1 op, 130400.00 ns, 130.4000 us/op
WorkloadActual  107: 1 op, 100900.00 ns, 100.9000 us/op
WorkloadActual  108: 1 op, 98000.00 ns, 98.0000 us/op
WorkloadActual  109: 1 op, 100400.00 ns, 100.4000 us/op
WorkloadActual  110: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  111: 1 op, 100800.00 ns, 100.8000 us/op
WorkloadActual  112: 1 op, 97100.00 ns, 97.1000 us/op
WorkloadActual  113: 1 op, 117800.00 ns, 117.8000 us/op
WorkloadActual  114: 1 op, 98500.00 ns, 98.5000 us/op
WorkloadActual  115: 1 op, 101100.00 ns, 101.1000 us/op
WorkloadActual  116: 1 op, 98300.00 ns, 98.3000 us/op
WorkloadActual  117: 1 op, 100200.00 ns, 100.2000 us/op
WorkloadActual  118: 1 op, 96200.00 ns, 96.2000 us/op
WorkloadActual  119: 1 op, 100900.00 ns, 100.9000 us/op
WorkloadActual  120: 1 op, 98300.00 ns, 98.3000 us/op
WorkloadActual  121: 1 op, 100300.00 ns, 100.3000 us/op
WorkloadActual  122: 1 op, 108800.00 ns, 108.8000 us/op
WorkloadActual  123: 1 op, 106800.00 ns, 106.8000 us/op
WorkloadActual  124: 1 op, 99500.00 ns, 99.5000 us/op
WorkloadActual  125: 1 op, 100100.00 ns, 100.1000 us/op
WorkloadActual  126: 1 op, 103300.00 ns, 103.3000 us/op
WorkloadActual  127: 1 op, 104600.00 ns, 104.6000 us/op
WorkloadActual  128: 1 op, 99100.00 ns, 99.1000 us/op
WorkloadActual  129: 1 op, 100900.00 ns, 100.9000 us/op
WorkloadActual  130: 1 op, 97600.00 ns, 97.6000 us/op
WorkloadActual  131: 1 op, 99600.00 ns, 99.6000 us/op
WorkloadActual  132: 1 op, 97200.00 ns, 97.2000 us/op
WorkloadActual  133: 1 op, 100000.00 ns, 100.0000 us/op
WorkloadActual  134: 1 op, 97700.00 ns, 97.7000 us/op
WorkloadActual  135: 1 op, 180800.00 ns, 180.8000 us/op
WorkloadActual  136: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  137: 1 op, 101300.00 ns, 101.3000 us/op
WorkloadActual  138: 1 op, 95700.00 ns, 95.7000 us/op
WorkloadActual  139: 1 op, 99700.00 ns, 99.7000 us/op
WorkloadActual  140: 1 op, 96800.00 ns, 96.8000 us/op
WorkloadActual  141: 1 op, 99500.00 ns, 99.5000 us/op
WorkloadActual  142: 1 op, 96300.00 ns, 96.3000 us/op
WorkloadActual  143: 1 op, 100100.00 ns, 100.1000 us/op
WorkloadActual  144: 1 op, 99800.00 ns, 99.8000 us/op
WorkloadActual  145: 1 op, 101400.00 ns, 101.4000 us/op
WorkloadActual  146: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  147: 1 op, 101300.00 ns, 101.3000 us/op
WorkloadActual  148: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  149: 1 op, 101100.00 ns, 101.1000 us/op
WorkloadActual  150: 1 op, 97500.00 ns, 97.5000 us/op
WorkloadActual  151: 1 op, 95700.00 ns, 95.7000 us/op
WorkloadActual  152: 1 op, 155600.00 ns, 155.6000 us/op
WorkloadActual  153: 1 op, 103700.00 ns, 103.7000 us/op
WorkloadActual  154: 1 op, 108000.00 ns, 108.0000 us/op
WorkloadActual  155: 1 op, 105300.00 ns, 105.3000 us/op
WorkloadActual  156: 1 op, 121400.00 ns, 121.4000 us/op
WorkloadActual  157: 1 op, 102400.00 ns, 102.4000 us/op
WorkloadActual  158: 1 op, 147700.00 ns, 147.7000 us/op
WorkloadActual  159: 1 op, 106100.00 ns, 106.1000 us/op
WorkloadActual  160: 1 op, 106300.00 ns, 106.3000 us/op
WorkloadActual  161: 1 op, 106500.00 ns, 106.5000 us/op
WorkloadActual  162: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  163: 1 op, 102300.00 ns, 102.3000 us/op
WorkloadActual  164: 1 op, 98900.00 ns, 98.9000 us/op
WorkloadActual  165: 1 op, 101500.00 ns, 101.5000 us/op
WorkloadActual  166: 1 op, 97800.00 ns, 97.8000 us/op
WorkloadActual  167: 1 op, 101600.00 ns, 101.6000 us/op
WorkloadActual  168: 1 op, 97500.00 ns, 97.5000 us/op
WorkloadActual  169: 1 op, 103800.00 ns, 103.8000 us/op
WorkloadActual  170: 1 op, 99000.00 ns, 99.0000 us/op
WorkloadActual  171: 1 op, 101300.00 ns, 101.3000 us/op
WorkloadActual  172: 1 op, 98700.00 ns, 98.7000 us/op
WorkloadActual  173: 1 op, 147600.00 ns, 147.6000 us/op
WorkloadActual  174: 1 op, 173100.00 ns, 173.1000 us/op
WorkloadActual  175: 1 op, 101900.00 ns, 101.9000 us/op
WorkloadActual  176: 1 op, 98500.00 ns, 98.5000 us/op
WorkloadActual  177: 1 op, 103800.00 ns, 103.8000 us/op
WorkloadActual  178: 1 op, 98900.00 ns, 98.9000 us/op
WorkloadActual  179: 1 op, 101200.00 ns, 101.2000 us/op
WorkloadActual  180: 1 op, 99200.00 ns, 99.2000 us/op
WorkloadActual  181: 1 op, 108800.00 ns, 108.8000 us/op
WorkloadActual  182: 1 op, 98700.00 ns, 98.7000 us/op
WorkloadActual  183: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  184: 1 op, 98600.00 ns, 98.6000 us/op
WorkloadActual  185: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  186: 1 op, 100900.00 ns, 100.9000 us/op
WorkloadActual  187: 1 op, 101700.00 ns, 101.7000 us/op
WorkloadActual  188: 1 op, 98600.00 ns, 98.6000 us/op
WorkloadActual  189: 1 op, 110000.00 ns, 110.0000 us/op
WorkloadActual  190: 1 op, 101600.00 ns, 101.6000 us/op
WorkloadActual  191: 1 op, 155900.00 ns, 155.9000 us/op
WorkloadActual  192: 1 op, 102600.00 ns, 102.6000 us/op
WorkloadActual  193: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  194: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  195: 1 op, 102900.00 ns, 102.9000 us/op
WorkloadActual  196: 1 op, 100000.00 ns, 100.0000 us/op
WorkloadActual  197: 1 op, 99400.00 ns, 99.4000 us/op
WorkloadActual  198: 1 op, 100100.00 ns, 100.1000 us/op
WorkloadActual  199: 1 op, 105300.00 ns, 105.3000 us/op
WorkloadActual  200: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  201: 1 op, 100300.00 ns, 100.3000 us/op
WorkloadActual  202: 1 op, 100100.00 ns, 100.1000 us/op
WorkloadActual  203: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  204: 1 op, 98500.00 ns, 98.5000 us/op
WorkloadActual  205: 1 op, 98500.00 ns, 98.5000 us/op
WorkloadActual  206: 1 op, 98600.00 ns, 98.6000 us/op
WorkloadActual  207: 1 op, 173100.00 ns, 173.1000 us/op
WorkloadActual  208: 1 op, 101600.00 ns, 101.6000 us/op
WorkloadActual  209: 1 op, 103000.00 ns, 103.0000 us/op
WorkloadActual  210: 1 op, 99600.00 ns, 99.6000 us/op
WorkloadActual  211: 1 op, 104500.00 ns, 104.5000 us/op
WorkloadActual  212: 1 op, 101200.00 ns, 101.2000 us/op
WorkloadActual  213: 1 op, 103400.00 ns, 103.4000 us/op
WorkloadActual  214: 1 op, 100400.00 ns, 100.4000 us/op
WorkloadActual  215: 1 op, 103700.00 ns, 103.7000 us/op
WorkloadActual  216: 1 op, 104000.00 ns, 104.0000 us/op
WorkloadActual  217: 1 op, 102000.00 ns, 102.0000 us/op
WorkloadActual  218: 1 op, 99900.00 ns, 99.9000 us/op
WorkloadActual  219: 1 op, 103800.00 ns, 103.8000 us/op
WorkloadActual  220: 1 op, 103000.00 ns, 103.0000 us/op
WorkloadActual  221: 1 op, 102100.00 ns, 102.1000 us/op
WorkloadActual  222: 1 op, 100100.00 ns, 100.1000 us/op
WorkloadActual  223: 1 op, 102200.00 ns, 102.2000 us/op
WorkloadActual  224: 1 op, 107900.00 ns, 107.9000 us/op
WorkloadActual  225: 1 op, 102600.00 ns, 102.6000 us/op
WorkloadActual  226: 1 op, 101100.00 ns, 101.1000 us/op
WorkloadActual  227: 1 op, 102300.00 ns, 102.3000 us/op
WorkloadActual  228: 1 op, 100000.00 ns, 100.0000 us/op
WorkloadActual  229: 1 op, 102500.00 ns, 102.5000 us/op
WorkloadActual  230: 1 op, 101100.00 ns, 101.1000 us/op
WorkloadActual  231: 1 op, 103400.00 ns, 103.4000 us/op
WorkloadActual  232: 1 op, 99900.00 ns, 99.9000 us/op
WorkloadActual  233: 1 op, 105700.00 ns, 105.7000 us/op
WorkloadActual  234: 1 op, 100300.00 ns, 100.3000 us/op
WorkloadActual  235: 1 op, 103400.00 ns, 103.4000 us/op
WorkloadActual  236: 1 op, 101600.00 ns, 101.6000 us/op
WorkloadActual  237: 1 op, 203500.00 ns, 203.5000 us/op
WorkloadActual  238: 1 op, 101800.00 ns, 101.8000 us/op
WorkloadActual  239: 1 op, 104300.00 ns, 104.3000 us/op
WorkloadActual  240: 1 op, 104600.00 ns, 104.6000 us/op
WorkloadActual  241: 1 op, 106800.00 ns, 106.8000 us/op
WorkloadActual  242: 1 op, 101600.00 ns, 101.6000 us/op
WorkloadActual  243: 1 op, 102900.00 ns, 102.9000 us/op
WorkloadActual  244: 1 op, 100100.00 ns, 100.1000 us/op
WorkloadActual  245: 1 op, 111500.00 ns, 111.5000 us/op
WorkloadActual  246: 1 op, 101100.00 ns, 101.1000 us/op
WorkloadActual  247: 1 op, 102900.00 ns, 102.9000 us/op
WorkloadActual  248: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  249: 1 op, 104000.00 ns, 104.0000 us/op
WorkloadActual  250: 1 op, 100700.00 ns, 100.7000 us/op
WorkloadActual  251: 1 op, 103100.00 ns, 103.1000 us/op
WorkloadActual  252: 1 op, 110400.00 ns, 110.4000 us/op
WorkloadActual  253: 1 op, 104700.00 ns, 104.7000 us/op
WorkloadActual  254: 1 op, 100300.00 ns, 100.3000 us/op
WorkloadActual  255: 1 op, 107500.00 ns, 107.5000 us/op
WorkloadActual  256: 1 op, 109800.00 ns, 109.8000 us/op
WorkloadActual  257: 1 op, 111500.00 ns, 111.5000 us/op
WorkloadActual  258: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  259: 1 op, 103100.00 ns, 103.1000 us/op
WorkloadActual  260: 1 op, 99900.00 ns, 99.9000 us/op
WorkloadActual  261: 1 op, 112500.00 ns, 112.5000 us/op
WorkloadActual  262: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  263: 1 op, 104200.00 ns, 104.2000 us/op
WorkloadActual  264: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  265: 1 op, 102900.00 ns, 102.9000 us/op
WorkloadActual  266: 1 op, 99800.00 ns, 99.8000 us/op
WorkloadActual  267: 1 op, 103400.00 ns, 103.4000 us/op
WorkloadActual  268: 1 op, 100600.00 ns, 100.6000 us/op
WorkloadActual  269: 1 op, 102900.00 ns, 102.9000 us/op
WorkloadActual  270: 1 op, 107500.00 ns, 107.5000 us/op
WorkloadActual  271: 1 op, 103400.00 ns, 103.4000 us/op
WorkloadActual  272: 1 op, 100200.00 ns, 100.2000 us/op
WorkloadActual  273: 1 op, 101900.00 ns, 101.9000 us/op
WorkloadActual  274: 1 op, 99400.00 ns, 99.4000 us/op
WorkloadActual  275: 1 op, 182800.00 ns, 182.8000 us/op
WorkloadActual  276: 1 op, 101200.00 ns, 101.2000 us/op
WorkloadActual  277: 1 op, 98800.00 ns, 98.8000 us/op
WorkloadActual  278: 1 op, 101800.00 ns, 101.8000 us/op
WorkloadActual  279: 1 op, 98900.00 ns, 98.9000 us/op
WorkloadActual  280: 1 op, 99900.00 ns, 99.9000 us/op
WorkloadActual  281: 1 op, 100400.00 ns, 100.4000 us/op
WorkloadActual  282: 1 op, 101200.00 ns, 101.2000 us/op
WorkloadActual  283: 1 op, 99600.00 ns, 99.6000 us/op
WorkloadActual  284: 1 op, 158900.00 ns, 158.9000 us/op
WorkloadActual  285: 1 op, 104900.00 ns, 104.9000 us/op
WorkloadActual  286: 1 op, 101200.00 ns, 101.2000 us/op
